"date","change","deposits","withdrawals"
2006-03-21,-3086,3791,6877
2006-03-22,-2892,9889,12782
2006-03-23,6745,81318,74573
2006-03-24,-8295,7219,15514
2006-03-27,4604,13235,8632
2006-03-28,-4905,3136,8041
2006-03-29,1573,10151,8578
2006-03-30,-4361,70679,75040
2006-03-31,-9372,54424,63795
2006-04-03,1322,42856,41534
2006-04-04,-2446,6412,8858
2006-04-05,1717,10821,9104
2006-04-06,-1295,71540,72835
2006-04-07,1486,16138,14651
2006-04-10,2965,12238,9273
2006-04-11,-394,9359,9753
2006-04-12,-1039,11294,12334
2006-04-13,-1014,74710,75724
2006-04-14,4250,19312,15062
2006-04-17,-559,67498,68058
2006-04-18,17006,24398,7392
2006-04-19,8383,20004,11621
2006-04-20,-20273,65307,85580
2006-04-21,2936,18003,15066
2006-04-24,15698,24009,8311
2006-04-25,32407,40487,8080
2006-04-26,8342,21433,13091
2006-04-27,-16721,66522,83243
2006-04-28,18035,32455,14420
2006-05-01,4963,77835,72872
2006-05-02,16243,23743,7500
2006-05-03,-11416,18522,29938
2006-05-04,-8529,65594,74122
2006-05-05,-1100,10755,11854
2006-05-08,3836,12575,8739
2006-05-09,-5578,4423,10001
2006-05-10,-3656,9135,12792
2006-05-11,-9062,62224,71286
2006-05-12,-298,8239,8537
2006-05-15,-39760,63273,103034
2006-05-16,3703,10983,7280
2006-05-17,-3844,8664,12508
2006-05-18,10,70224,70214
2006-05-19,-1163,8631,9793
2006-05-22,3386,11192,7806
2006-05-23,-4190,3296,7486
2006-05-24,-4330,7919,12249
2006-05-25,-3360,68013,71373
2006-05-26,641,8375,7734
2006-05-30,3278,10870,7592
2006-05-31,9299,51876,42577
2006-06-01,-19273,82153,101426
2006-06-02,-1736,30570,32307
2006-06-05,295,9971,9675
2006-06-06,3944,13187,9243
2006-06-07,3850,11103,7252
2006-06-08,-5539,68470,74010
2006-06-09,1342,7223,5882
2006-06-12,5904,12242,6338
2006-06-13,1388,7846,6458
2006-06-14,5071,16586,11515
2006-06-15,10783,130052,119269
2006-06-16,7896,17376,9481
2006-06-19,7389,15156,7767
2006-06-20,10866,22164,11298
2006-06-21,3608,14615,11007
2006-06-22,-14377,64312,78689
2006-06-23,2642,8336,5695
