,count,percentage,total,day,raw_count
debt+ceiling,3.0,0.00746250093281262,40201,2011-10-31,3.0
debt+ceiling,2.0,0.00120683308894963,165723,2011-11-02,2.0
debt+ceiling,2.0,0.00154093889406816,129791,2011-11-03,2.0
debt+ceiling,1.0,0.00211774671749259,47220,2011-11-04,1.0
debt+ceiling,2.0,0.00306447658739887,65264,2011-11-09,2.0
debt+ceiling,2.0,0.00150943396226415,132500,2011-11-14,2.0
debt+ceiling,8.0,0.00794170786427621,100734,2011-11-15,8.0
debt+ceiling,2.0,0.00162087689439987,123390,2011-11-16,2.0
debt+ceiling,1.0,0.00147977152327681,67578,2011-11-18,1.0
debt+ceiling,4.0,0.00308259030062962,129761,2011-11-30,4.0
debt+ceiling,2.0,0.00675949709341625,29588,2011-12-02,2.0
debt+ceiling,3.0,0.00224193464013212,133813,2011-12-14,3.0
debt+ceiling,1.0,0.000607304660455964,164662,2011-12-16,1.0
debt+ceiling,1.0,0.00207112234119669,48283,2011-12-17,1.0
debt+ceiling,3.0,0.00475488564500024,63093,2011-12-20,3.0
debt+ceiling,6.0,0.012,50000,2012-01-18,6.0
debt+ceiling,6.0,0.0081681550860379,73456,2012-01-24,6.0
debt+ceiling,24.0,0.0326335255085391,73544,2012-01-26,24.0
debt+ceiling,1.0,0.00100237563024368,99763,2012-01-31,1.0
debt+ceiling,1.0,0.00103575423623483,96548,2012-02-07,1.0
debt+ceiling,2.0,0.00350686468762603,57031,2012-02-08,2.0
debt+ceiling,2.0,0.0054352256977471,36797,2012-02-13,2.0
debt+ceiling,9.0,0.0080853089935587,111313,2012-02-14,9.0
debt+ceiling,3.0,0.00280919919095063,106792,2012-02-15,3.0
debt+ceiling,3.0,0.00136188448495799,220283,2012-02-16,3.0
debt+ceiling,1.0,0.001236567782463,80869,2012-02-17,1.0
debt+ceiling,1.0,0.00109601052170101,91240,2012-03-01,1.0
debt+ceiling,6.0,0.00525463064325437,114185,2012-03-08,6.0
debt+ceiling,3.0,0.00397193168277506,75530,2012-03-13,3.0
debt+ceiling,2.0,0.0023350028603785,85653,2012-03-20,2.0
debt+ceiling,1.0,0.000749883768015958,133354,2012-04-16,1.0
debt+ceiling,1.0,0.00135664961810313,73711,2012-04-23,1.0
debt+ceiling,1.0,0.000940079342696524,106374,2012-04-24,1.0
debt+ceiling,1.0,0.000800236870113554,124963,2012-04-25,1.0
debt+ceiling,3.0,0.00288273052235077,104068,2012-05-08,3.0
debt+ceiling,2.0,0.0011613929747339,172207,2012-05-09,2.0
debt+ceiling,7.0,0.0192043895747599,36450,2012-05-14,7.0
