source,url,date,day,table,account,is_total,close_today,open_today,open_mo,open_fy
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE I  Operating Cash Balance,Federal Reserve Account,0,70037,69787,92720,85446
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE I  Operating Cash Balance,Supplementary Financing Program Account,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE I  Operating Cash Balance,Short-Term Cash Investments (Table V),0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE I  Operating Cash Balance,Total Operating Balance,1,70037,69787,92720,85446
