source,url,date,day,table,account,is_total,close_today,open_today,open_mo,open_fy
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13010200.txt,2013-01-02,Wednesday,TABLE I  Operating Cash Balance,Federal Reserve Account,0,84458,92720,92720,85446
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13010200.txt,2013-01-02,Wednesday,TABLE I  Operating Cash Balance,Supplementary Financing Program,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13010200.txt,2013-01-02,Wednesday,TABLE I  Operating Cash Balance,Account Short-Term Cash Investments (Table V),0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13010200.txt,2013-01-02,Wednesday,TABLE I  Operating Cash Balance,Total Operating Balance,1,84458,92720,92720,85446
