source,url,date,day,table,account,item,type,subtype,is_total,today,mtd,fytd,footnote
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Agriculture Loan Repayments (misc),deposit,,0,63,434,2456,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Air Transport Security Fees,deposit,,0,0,5,570,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Cash FTD's Received (Table IV),deposit,,0,14411,101420,657491,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Commodity Credit Corporation programs,deposit,,0,40,546,2306,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Customs and Certain Excise Taxes,deposit,,0,61,712,11884,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Supplemental Security Income,deposit,,0,4,28,1130,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Unemployment,deposit,,0,43,304,8065,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Education Department programs,deposit,,0,315,1671,10396,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Energy Department programs,deposit,,0,27,112,1782,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Estate and Gift Taxes,deposit,,0,90,693,3988,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Reserve Earnings,deposit,,0,0,2349,24158,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Foreign Deposits Military Sales,deposit,,0,9,2127,7568,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Housing and Urban Development programs,deposit,,0,1,97,1091,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Individual Income and Employment Taxes Not Withheld,deposit,,0,6035,19686,46816,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Interest recd from cash investments,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Justice Department programs,deposit,,0,8,117,3470,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Postal Service,deposit,,0,374,3809,26922,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Public Debt Cash Issues (Table III-B),deposit,,0,65829,302630,2495905,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Pension Benefit Guaranty Corp.,deposit,,0,66,77,1597,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,TARP,deposit,,0,776,797,21554,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Other Deposits,deposit,,1,841,4209,59815,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Change in Balance of Uncollected Funds,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers from Depositaries,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Federal Reserve Account,deposit,,1,88151,440949,3365811,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers from Federal Reserve Account (Table V),deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Deposits (excluding transfers),deposit,,1,88151,440949,3365811,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Commodity Credit Corporation programs,withdrawal,,0,79,1067,11358,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Defense Vendor Payments (EFT),withdrawal,,0,1656,12500,104741,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Education Department programs,withdrawal,,0,1627,17089,56802,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Energy Department programs,withdrawal,,0,145,1125,10132,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Employees Insurance Payments,withdrawal,,0,254,2686,20291,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Fed. Highway Administration programs,withdrawal,,0,117,1260,12861,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Salaries (EFT),withdrawal,,0,186,6790,50669,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Food and Nutrition Service (misc),withdrawal,,0,448,4962,31732,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,GSA programs,withdrawal,,0,60,966,5938,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Health and Human Services Grants (misc),withdrawal,,0,403,3798,27376,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Housing and Urban Development programs,withdrawal,,0,194,4370,23951,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Interest on Treasury Securities,withdrawal,,0,5290,5710,63229,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,IRS Tax Refunds Business (EFT),withdrawal,,0,5,126,7533,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,IRS Tax Refunds Individual (EFT),withdrawal,,0,0,62,6307,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Justice Department programs,withdrawal,,0,72,635,4811,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Labor Dept. prgms (excl. unemployment),withdrawal,,0,47,537,4178,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicaid,withdrawal,,0,649,9300,73824,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicare,withdrawal,,0,984,28391,171839,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,NASA programs,withdrawal,,0,42,505,5120,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Postal Service Money Orders and Other,withdrawal,,0,121,1692,11752,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Public Debt Cash Redemp. (Table III-B),withdrawal,,0,43556,282687,2178929,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Social Security Benefits (EFT),withdrawal,,0,45,35681,208439,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011500.txt,2013-01-15,Tuesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Supple. Nutrition Assist. Program (SNAP),withdrawal,,0,17,166,1220,0
