source,url,date,day,table,account,item,type,subtype,is_total,today,mtd,fytd,footnote
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Agriculture Loan Repayments (misc),deposit,,0,15,676,2698,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Air Transport Security Fees,deposit,,0,0,12,577,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Cash FTD's Received (Table IV),deposit,,0,7057,157025,713096,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Commodity Credit Corporation programs,deposit,,0,54,885,2645,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Customs and Certain Excise Taxes,deposit,,0,71,2914,14086,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Supplemental Security Income,deposit,,0,3,44,1146,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Unemployment,deposit,,0,144,827,8587,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Education Department programs,deposit,,0,110,2638,11362,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Energy Department programs,deposit,,0,64,338,2008,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Estate and Gift Taxes,deposit,,0,40,1060,4355,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Reserve Earnings,deposit,,0,0,4599,26407,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Foreign Deposits Military Sales,deposit,,0,7,2259,7700,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Housing and Urban Development programs,deposit,,0,0,276,1269,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Individual Income and Employment Taxes Not Withheld,deposit,,0,2177,63858,90988,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Interest recd from cash investments,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Justice Department programs,deposit,,0,19,226,3579,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Postal Service,deposit,,0,316,6307,29421,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Public Debt Cash Issues (Table III-B),deposit,,0,798,494720,2687995,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicare Premiums,deposit,,0,185,1918,8137,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Railroad Unemployment Ins.,deposit,,0,1,3,54,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Other Deposits,deposit,,1,186,6951,62557,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Change in Balance of Uncollected Funds,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers from Depositaries,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012500.txt,2013-01-25,Friday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Federal Reserve Account,deposit,,1,11061,745614,3670476,0
