source,url,date,day,table,account,item,type,subtype,is_total,today,mtd,fytd,footnote
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Agriculture Loan Repayments (misc),deposit,,0,120,634,2655,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Air Transport Security Fees,deposit,,0,1,11,576,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Cash FTD's Received (Table IV),deposit,,0,4529,144471,700542,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Commodity Credit Corporation programs,deposit,,0,42,779,2539,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Customs and Certain Excise Taxes,deposit,,0,173,1254,12426,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Supplemental Security Income,deposit,,0,3,39,1141,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Unemployment,deposit,,0,86,589,8349,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Education Department programs,deposit,,0,348,2426,11151,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Energy Department programs,deposit,,0,28,239,1909,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Estate and Gift Taxes,deposit,,0,101,995,4290,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Reserve Earnings,deposit,,0,1220,4599,26407,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Foreign Deposits Military Sales,deposit,,0,21,2219,7660,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Housing and Urban Development programs,deposit,,0,152,268,1262,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Individual Income and Employment Taxes Not Withheld,deposit,,0,18466,59427,86557,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Interest recd from cash investments,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Justice Department programs,deposit,,0,9,199,3552,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Postal Service,deposit,,0,500,5665,28779,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Public Debt Cash Issues (Table III-B),deposit,,0,843,402525,2595800,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,International Monetary Fund,deposit,,0,103,122,1289,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13012300.txt,2013-01-23,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicare Premiums,deposit,,0,142,1602,7822,0
