source,url,date,day,table,account,is_total,close_today,open_today,open_mo,open_fy
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=12122000.txt,2012-12-20,Thursday,TABLE I  Operating Cash Balance,Federal Reserve Account,0,49800,75017,48947,85446
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=12122000.txt,2012-12-20,Thursday,TABLE I  Operating Cash Balance,Supplementary Financing Program,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=12122000.txt,2012-12-20,Thursday,TABLE I  Operating Cash Balance,Account Short-Term Cash Investments (Table V),0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=12122000.txt,2012-12-20,Thursday,TABLE I  Operating Cash Balance,Total Operating Balance,1,49800,75017,48947,85446
