source,url,date,day,table,account,item,type,subtype,is_total,today,mtd,fytd,footnote
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Agriculture Loan Repayments (misc),deposit,,0,8,443,2464,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Air Transport Security Fees,deposit,,0,0,5,570,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Cash FTD's Received (Table IV),deposit,,0,14340,115761,671832,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Commodity Credit Corporation programs,deposit,,0,41,587,2348,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Customs and Certain Excise Taxes,deposit,,0,69,781,11953,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Supplemental Security Income,deposit,,0,1,29,1132,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Unemployment,deposit,,0,49,353,8114,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Education Department programs,deposit,,0,100,1771,10495,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Energy Department programs,deposit,,0,9,122,1792,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Estate and Gift Taxes,deposit,,0,28,721,4016,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Reserve Earnings,deposit,,0,1030,3379,25187,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Foreign Deposits Military Sales,deposit,,0,33,2160,7601,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Housing and Urban Development programs,deposit,,0,5,103,1096,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Individual Income and Employment Taxes Not Withheld,deposit,,0,4350,24036,51166,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Interest recd from cash investments,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Justice Department programs,deposit,,0,39,156,3508,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Postal Service,deposit,,0,327,4136,27249,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Public Debt Cash Issues (Table III-B),deposit,,0,874,303504,2496779,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicare Premiums,deposit,,0,80,604,6823,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Small Business Admin. Loan Sales,deposit,,0,53,161,958,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Other Deposits,deposit,,1,133,4342,59948,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Change in Balance of Uncollected Funds,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers from Depositaries,deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Federal Reserve Account,deposit,,1,21438,462387,3387249,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers from Federal Reserve Account (Table V),deposit,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Deposits (excluding transfers),deposit,,1,21438,462387,3387249,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Commodity Credit Corporation programs,withdrawal,,0,167,1234,11524,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Defense Vendor Payments (EFT),withdrawal,,0,1071,13571,105812,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Education Department programs,withdrawal,,0,1912,19001,58713,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Energy Department programs,withdrawal,,0,130,1255,10262,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Employees Insurance Payments,withdrawal,,0,291,2978,20582,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Fed. Highway Administration programs,withdrawal,,0,101,1361,12962,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Salaries (EFT),withdrawal,,0,77,6866,50746,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Food and Nutrition Service (misc),withdrawal,,0,421,5382,32152,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,GSA programs,withdrawal,,0,41,1007,5979,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Health and Human Services Grants (misc),withdrawal,,0,328,4125,27704,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Housing and Urban Development programs,withdrawal,,0,171,4541,24122,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Interest on Treasury Securities,withdrawal,,0,1,5711,63230,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,IRS Tax Refunds Business (EFT),withdrawal,,0,56,182,7589,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,IRS Tax Refunds Individual (EFT),withdrawal,,0,0,62,6307,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Justice Department programs,withdrawal,,0,45,680,4856,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Labor Dept. prgms (excl. unemployment),withdrawal,,0,49,586,4228,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicaid,withdrawal,,0,1057,10357,74881,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Medicare,withdrawal,,0,924,29315,172763,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,NASA programs,withdrawal,,0,34,539,5154,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Postal Service Money Orders and Other,withdrawal,,0,98,1790,11850,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Public Debt Cash Redemp. (Table III-B),withdrawal,,0,939,283626,2179868,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Social Security Benefits (EFT),withdrawal,,0,11330,47011,219769,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Supple. Nutrition Assist. Program (SNAP),withdrawal,,0,15,180,1235,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Temporary Assistance for Needy Families (HHS),withdrawal,,0,129,829,5524,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transportation Security Admin. (DHS),withdrawal,,0,1,10,276,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Unemployment Insurance Benefits,withdrawal,,0,395,3967,22044,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Veterans Affairs programs,withdrawal,,0,153,1785,13596,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Agriculture,withdrawal,,0,342,816,3851,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Crop Ins. Corp.,withdrawal,,0,162,1928,11104,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Federal Transit Admin.,withdrawal,,0,54,388,3190,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,State Department,withdrawal,,0,53,355,2998,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,TARP,withdrawal,,0,4,9,853,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Unclassified,withdrawal,,0,750,11418,83363,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Other Withdrawals,withdrawal,,1,1364,29980,241788,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers to Depositaries,withdrawal,,0,0,0,0,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Total Federal Reserve Account,withdrawal,,1,21298,477930,3395517,0
Daily Treasury Statement,https://www.fms.treas.gov/fmsweb/viewDTSFiles?dir=w&fname=13011600.txt,2013-01-16,Wednesday,TABLE II  Deposits and Withdrawals of Operating Cash,Federal Reserve Account,Transfers to Federal Reserve Account (Table V),withdrawal,,0,0,0,0,0
